<<<<<<< HEAD
﻿plante;traitement;date prélèvement;jours apres 6,0;age_plante_stadeTS_BM;age épi_jours_TS;date_6F_BM;jours en stress;age_épi_jours20°C_TS;talle;code_épi;age épi_jours_TS;F visibles;F drapeau BM;distance ligules BM (mm);ligules drapeau-drapeau-1 (mm);sommet épi - ligule drapeau-1 (mm);lg épi BM;lg épi réelle (mm);LN(lg épi/lg épi BM);n° photo;grossissement;lg sur écran;largeur image écran;remarque;
7blanc;S0a;19/03/2021;15,00;15,0;12,9;04/03/2021;0;12,92;T1;7blanc_T1;12,9;;7;100;55;-35;100;58;-0,544727175;;;;;;
7blanc;S0a;19/03/2021;15,00;15,0;12,1;04/03/2021;0;12,10;T2;7blanc_T2;12,1;;7;100;23;-60;100;40;-0,916290732;;;;;;
7blanc;S0a;19/03/2021;15,00;15,0;7,7;04/03/2021;0;7,65;T1.1;7blanc_T1.1;7,7;;7;100;xx;-80;100;15;-1,897119985;;;;;;
7blanc;S0a;19/03/2021;15,00;15,0;9,1;04/03/2021;0;9,08;T0;7blanc_T0;9,1;;7;100;xx;-70;100;25;-1,386294361;;;;;;
4rouge;S0b;19/03/2021;15,00;15,0;14,7;04/03/2021;4,5;16,62;BM;4rouge_BM;14,7;;7;115;115;25;85;85;0;;;;;;
4rouge;S0b;19/03/2021;15,00;15,0;12,9;04/03/2021;4,5;14,83;T1;4rouge_T1;12,9;;7;115;90;-20;85;55;-0,435318071;;;;;;
4rouge;S0b;19/03/2021;15,00;15,0;12,1;04/03/2021;4,5;14,02;T2;4rouge_T2;12,1;;7;115;xx;-70;85;35;-0,887303195;;;;;;
4rouge;S0b;19/03/2021;15,00;15,0;8,8;04/03/2021;4,5;10,69;T3;4rouge_T3;8,8;;7;115;xx;-80;85;25;-1,223775432;;;;;;
8blanc;S0b;19/03/2021;15,00;15,0;14,7;04/03/2021;4,5;16,62;BM;8blanc_BM;14,7;;7;115;115;30;80;80;0;;;;;;
8blanc;S0b;19/03/2021;15,00;15,0;12,9;04/03/2021;4,5;14,83;T1;8blanc_T1;12,9;;7;115;90;-20;80;55;-0,374693449;;;;;;
8blanc;S0b;19/03/2021;15,00;15,0;12,1;04/03/2021;4,5;14,02;T2;8blanc_T2;12,1;;7;115;20;-65;80;36;-0,798507696;;;;;;
8blanc;S0b;19/03/2021;15,00;15,0;9,1;04/03/2021;4,5;11,00;T0;8blanc_T0;9,1;;7;115;xx;-90;80;18;-1,491654877;;;;;;
8blanc;S0b;19/03/2021;15,00;15,0;8,8;04/03/2021;4,5;10,69;T3;8blanc_T3;8,8;;7;115;xx;-90;80;15;-1,673976434;;;;;;
6bleu;S0b;22/03/2021;18,00;16,0;15,7;04/03/2021;4,5;17,62;BM;6bleu_BM;15,7;;8;100;100;0;80;80;0;;;;;;
6bleu;S0b;22/03/2021;18,00;16,0;13,9;04/03/2021;4,5;15,83;T1;6bleu_T1;13,9;;8;100;70;-50;80;40;-0,693147181;;;;;;
6bleu;S0b;22/03/2021;18,00;16,0;13,1;04/03/2021;4,5;15,02;T2;6bleu_T2;13,1;;8;100;30;-80;80;32;-0,916290732;;;;;;
6bleu;S0b;22/03/2021;18,00;16,0;10,1;04/03/2021;4,5;12,00;T0;6bleu_T0;10,1;;8;100;5;-90;80;30;-0,980829253;;;;;;
74;S4;26/03/2021;14,00;14,0;13,7;12/03/2021;2;14,75;BM;74_BM;13,7;;7;55;55;-50;62;62;0;;;;;;
74;S4;26/03/2021;14,00;14,0;11,9;12/03/2021;2;12,97;T1;74_T1;11,9;;7;55;-3;-100;62;33;-0,630626824;;;;;;
74;S4;26/03/2021;14,00;14,0;11,1;12/03/2021;2;12,15;T2;74_T2;11,1;;7;55;xx;-105;62;25;-0,90825856;;;;;;
74;S4;26/03/2021;14,00;14,0;7,8;12/03/2021;2;8,83;T3;74_T3;7,8;;7;55;xx;-110;62;15,37598888;-1,394327256;173;8;315;266;;
74;S4;26/03/2021;14,00;14,0;4,3;12/03/2021;2;5,32;T4;74_T4;4,3;;7;55;;;62;7,810026097;-2,07172608;174;8;160;266;;
74;S4;26/03/2021;14,00;14,0;6,7;12/03/2021;2;7,70;T1.1;74_T1.1;6,7;;7;55;;;62;6,345646203;-2,279365445;175;8;130;266;;
74;S4;26/03/2021;14,00;14,0;8,1;12/03/2021;2;9,13;T0;74_T0;8,1;;7;55;;;62;7,907651423;-2,05930356;176;8;162;266;;
74;S4;26/03/2021;14,00;14,0;3,7;12/03/2021;2;4,79;T1.2;74_T1.2;3,7;;7;55;;;62;6,560421921;-2,246079467;177;12,5;210;266;;
74;S4;26/03/2021;14,00;14,0;2,8;12/03/2021;2;3,81;T2.2;74_T2.2;2,8;;7;55;;;62;3,748812526;-2,805695255;178;12,5;120;266;;
80;S7;26/03/2021;14,00;14,0;13,7;12/03/2021;7;16,88;BM;80_BM;13,7;;7;55;55;-40;46;46;0;;;;;;
80;S7;26/03/2021;14,00;14,0;11,9;12/03/2021;7;15,09;T1;80_T1;11,9;;7;55;7;-70;46;32;-0,362905494;;;;;;
80;S7;26/03/2021;14,00;14,0;11,1;12/03/2021;7;14,28;T2;80_T2;11,1;;7;55;xx;-75;46;25;-0,609765572;;;;;;
80;S7;26/03/2021;14,00;14,0;6,7;12/03/2021;7;9,83;T1.1;80_T1.1;6,7;;7;55;xx;xx;46;10,20184659;-1,506072654;179;8;209;266;;
80;S7;26/03/2021;14,00;14,0;8,1;12/03/2021;7;11,26;T0;80_T0;8,1;;7;55;xx;xx;46;13,27704436;-1,24260484;180;8;272;266;;
80;S7;26/03/2021;14,00;14,0;1,5;12/03/2021;7;4,71;T0.1;80_T0.1;1,5;;7;55;xx;xx;46;2,287221928;-3,001303447;181;35;205;266;stade TS;
80;S7;26/03/2021;14,00;14,0;1,5;12/03/2021;7;4,71;T0.1;80_T0.1;1,5;;7;55;xx;xx;46;2,231436028;-3,02599606;182;35;200;266;;
80;S7;26/03/2021;14,00;14,0;6,4;12/03/2021;7;9,59;T2.1;80_T2.1;6,4;;7;55;xx;xx;46;7,273086802;-1,844460601;183;8;149;266;;
80;S7;26/03/2021;14,00;14,0;2,8;12/03/2021;7;5,94;T2.2;80_T2.2;2,8;;7;55;xx;xx;46;2,298379108;-2,996437257;184;35;206;266;stade TS pile;
80;S7;26/03/2021;14,00;14,0;7,8;12/03/2021;7;10,95;T3;80_T3;7,8;;7;55;xx;xx;46;14,64379893;-1,144624432;185;8;300;266;;
80;S7;26/03/2021;14,00;14,0;1,7;12/03/2021;7;4,85;T3.1;80_T3.1;1,7;;7;55;xx;xx;46;2,343007829;-2,977205896;186;35;210;266;stade TS;
80;S7;26/03/2021;14,00;14,0;4,3;12/03/2021;7;7,45;T4;80_T4;4,3;;7;55;xx;xx;46;2,39879373;-2,953675398;187;35;215;266;stade TS;
73;S2;27/03/2021;14,00;14,0;13,7;13/03/2021;2;14,29;BM;73_BM;13,7;;7;70;70;-50;65;65;0;;;;;;
73;S2;27/03/2021;14,00;14,0;11,9;13/03/2021;2;12,50;T1;73_T1;11,9;;7;70;xx;-95;65;37;-0,563469357;;;;;;
73;S2;27/03/2021;14,00;14,0;8,1;13/03/2021;2;8,67;T0;73_T0;8,1;;7;70;xx;-125;65;11,51978849;-1,730320975;188;8;236;266;;
73;S2;27/03/2021;14,00;14,0;11,1;13/03/2021;2;11,69;T2;73_T2;11,1;;7;70;xx;-60;65;22;-1,083344817;;;;;;
73;S2;27/03/2021;14,00;14,0;7,8;13/03/2021;2;8,36;T3;73_T3;7,8;;7;70;xx;-110;65;17;-1,341173926;;;;;;
73;S2;27/03/2021;14,00;14,0;4,3;13/03/2021;2;4,86;T4;73_T4;4,3;;7;70;xx;xx;65;7,341424531;-2,180854368;189;12,5;235;266;;
73;S2;27/03/2021;14,00;14,0;6,7;13/03/2021;2;7,24;T1.1;73_T1.1;6,7;;7;70;xx;xx;65;8,591028706;-2,023668785;190;10;220;266;;
73;S2;27/03/2021;14,00;14,0;6,4;13/03/2021;2;7,00;T2.1;73_T2.1;6,4;;7;70;xx;xx;65;6,492084193;-2,303803652;191;16;266;266;;
73;S2;27/03/2021;14,00;14,0;2,8;13/03/2021;2;3,34;T2.2;73_T2.2;2,8;;7;70;xx;xx;65;4,295514353;-2,716815965;192;20;220;266;;
82;S4;27/03/2021;14,00;14,0;13,7;13/03/2021;2;14,75;BM;82_BM;13,7;;7;80;80;-35;70;70;0;;;;;;
82;S4;27/03/2021;14,00;14,0;11,9;13/03/2021;2;12,97;T1;82_T1;11,9;;7;80;5;-80;70;42;-0,510825624;;;;;;
82;S4;27/03/2021;14,00;14,0;11,1;13/03/2021;2;12,15;T2;82_T2;11,1;;7;80;xx;-110;70;34;-0,722134717;;;;;;
82;S4;27/03/2021;14,00;14,0;7,8;13/03/2021;2;8,83;T3;82_T3;7,8;;7;80;xx;-105;70;24;-1,070441412;;;;;;
82;S4;27/03/2021;14,00;14,0;6,7;13/03/2021;2;7,70;T1.1;82_T1.1;6,7;;7;80;xx;-100;70;12,59366708;-1,715301167;193;8;258;266;;
82;S4;27/03/2021;14,00;14,0;8,1;13/03/2021;2;9,13;T0;82_T0;8,1;;7;80;xx;xx;70;14,88786225;-1,547948975;194;8;305;266;;
82;S4;27/03/2021;14,00;14,0;6,4;13/03/2021;2;7,46;T2.1;82_T2.1;6,4;;7;80;xx;xx;70;12,3007911;-1,738831664;195;8;252;266;;
82;S4;27/03/2021;14,00;14,0;2,8;13/03/2021;2;3,81;T2.2;82_T2.2;2,8;;7;80;xx;xx;70;6,028363893;-2,452019596;196;16;247;266;;
82;S4;27/03/2021;14,00;14,0;4,3;13/03/2021;2;5,32;T4;82_T4;4,3;;7;80;xx;xx;70;6,028363893;-2,452019596;197;16;247;266;;
81;S2;27/03/2021;14,00;14,0;13,7;13/03/2021;2;14,29;BM;81_BM;13,7;;7;50;50;-55;65;65;0;;;;;;
81;S2;27/03/2021;14,00;14,0;11,9;13/03/2021;2;12,50;T1;81_T1;11,9;;7;50;xx;-90;65;37;-0,563469357;;;;;;
81;S2;27/03/2021;14,00;14,0;11,1;13/03/2021;2;11,69;T2;81_T2;11,1;;7;50;xx;-105;65;32;-0,708651367;;;;;;
81;S2;27/03/2021;14,00;14,0;7,8;13/03/2021;2;8,36;T3;81_T3;7,8;;7;50;xx;xx;65;12,93535572;-1,614422954;199;8;265;266;;
81;S2;27/03/2021;14,00;14,0;8,1;13/03/2021;2;8,67;T0;81_T0;8,1;;7;50;xx;-100;65;12,93535572;-1,614422954;198;8;265;266;;
81;S2;27/03/2021;14,00;14,0;6,7;13/03/2021;2;7,24;T1.1;81_T1.1;6,7;;7;50;xx;xx;65;8,395778054;-2,046658303;200;10;215;266;;
81;S2;27/03/2021;14,00;14,0;3,7;13/03/2021;2;4,33;T1.2;81_T1.2;3,7;;7;50;xx;xx;65;3,983113309;-2,792323518;201;20;204;266;;
81;S2;27/03/2021;14,00;14,0;6,4;13/03/2021;2;7,00;T2.1;81_T2.1;6,4;;7;50;xx;xx;65;4,100263701;-2,763335981;202;20;210;266;;
81;S2;27/03/2021;14,00;14,0;4,3;13/03/2021;2;4,86;T4;81_T4;4,3;;7;50;xx;xx;65;4,686015658;-2,629804588;203;20;240;266;;
76;S7;29/03/2021;17,00;15,0;14,7;12/03/2021;7;17,88;BM;76_BM;14,7;;8;70;70;-35;72;72;0;;;;;;
76;S7;29/03/2021;17,00;15,0;12,9;12/03/2021;7;16,09;T1;76_T1;12,9;;8;70;60;-55;72;46;-0,448024723;;;;;;
76;S7;29/03/2021;17,00;15,0;12,1;12/03/2021;7;15,28;T2;76_T2;12,1;;8;70;10;-80;72;35;-0,721318058;;;;;;
76;S7;29/03/2021;17,00;15,0;9,1;12/03/2021;7;12,26;T0;76_T0;9,1;;8;70;xx;-100;72;18;-1,386294361;;;;;;
76;S7;29/03/2021;17,00;15,0;8,8;12/03/2021;7;11,95;T3;76_T3;8,8;;8;70;xx;-95;72;19;-1,33222714;;;;;;
76;S7;29/03/2021;17,00;15,0;5,3;12/03/2021;7;8,45;T4;76_T4;5,3;;8;70;xx;xx;72;5,62321879;-2,549761881;204;12,5;180;266;;
76;S7;29/03/2021;17,00;15,0;7,7;12/03/2021;7;10,83;T1.1;76_T1.1;7,7;;8;70;xx;xx;72;11,51978849;-1,832599824;205;8;236;266;;
76;S7;29/03/2021;17,00;15,0;7,4;12/03/2021;7;10,59;T2.1;76_T2.1;7,4;;8;70;xx;xx;72;9,030342674;-2,076075804;206;8;185;266;;
78;S4;27/03/2021;14,00;14,0;13,7;13/03/2021;2;14,75;BM;78_BM;13,7;;7;65;65;-40;65;65;0;;;;;;
78;S4;27/03/2021;14,00;14,0;11,9;13/03/2021;2;12,97;T1;78_T1;11,9;;7;65;8;-80;65;45;-0,36772478;;;;;;
78;S4;27/03/2021;14,00;14,0;8,1;13/03/2021;2;9,13;T0;78_T0;8,1;;7;65;xx;-80;65;18;-1,284015512;;;;;;
78;S4;27/03/2021;14,00;14,0;11,1;13/03/2021;2;12,15;T2;78_T2;11,1;;7;65;xx;-100;65;34;-0,648026745;;;;;;
78;S4;27/03/2021;14,00;14,0;7,8;13/03/2021;2;8,83;T3;78_T3;7,8;;7;65;xx;-100;65;17;-1,341173926;;;;;;
78;S4;27/03/2021;14,00;14,0;6,7;13/03/2021;2;7,70;T1.1;78_T1.1;6,7;;7;65;xx;-105;65;10,25065925;-1,847045249;207;8;210;266;;
78;S4;27/03/2021;14,00;14,0;4,3;13/03/2021;2;5,32;T4;78_T4;4,3;;7;65;xx;xx;65;6,810342756;-2,25594482;208;12,5;218;266;;
78;S4;27/03/2021;14,00;14,0;6,4;13/03/2021;2;7,46;T2.1;78_T2.1;6,4;;7;65;xx;xx;65;10,73878588;-1,800525234;209;8;220;266;;
88;S7;30/03/2021;18,00;16,0;15,7;12/03/2021;7;18,88;BM;88_BM;15,7;;8;85;85;-25;80;80;0;;;;;;
88;S7;30/03/2021;18,00;16,0;13,9;12/03/2021;7;17,09;T1;88_T1;13,9;;8;85;90;-50;80;42;-0,644357016;;;;;;
88;S7;30/03/2021;18,00;16,0;13,1;12/03/2021;7;16,28;T2;88_T2;13,1;;8;85;20;-85;80;37;-0,771108722;;;;;;
88;S7;30/03/2021;18,00;16,0;9,8;12/03/2021;7;12,95;T3;88_T3;9,8;;8;85;xx;xx;80;19;-1,437587656;;;;;;
88;S7;30/03/2021;18,00;16,0;10,1;12/03/2021;7;13,26;T0;88_T0;10,1;;8;85;xx;xx;80;16;-1,609437912;;;;;;
88;S7;30/03/2021;18,00;16,0;8,7;12/03/2021;7;11,83;T1.1;88_T1.1;8,7;;8;85;xx;xx;80;28;-1,049822124;;;;;;
77;S2;31/03/2021;19,00;17,0;16,7;12/03/2021;2;17,29;BM;77_BM;16,7;;8;75;75;0;115;115;0;;;;;;
77;S2;31/03/2021;19,00;17,0;14,9;12/03/2021;2;15,50;T1;77_T1;14,9;;8;75;55;-40;115;85;-0,302280872;;;;;;
77;S2;31/03/2021;19,00;17,0;14,1;12/03/2021;2;14,69;T2;77_T2;14,1;;8;75;60;-35;115;80;-0,362905494;;;;;;
77;S2;31/03/2021;19,00;17,0;10,8;12/03/2021;2;11,36;T3;77_T3;10,8;;8;75;xx;-80;115;49;-0,85311183;;;;;;
77;S2;31/03/2021;19,00;17,0;7,3;12/03/2021;2;7,86;T4;77_T4;7,3;;8;75;xx;xx;115;22;-1,653889675;;;;;T0 ?;
77;S2;31/03/2021;19,00;17,0;9,7;12/03/2021;2;10,24;T1.1;77_T1.1;9,7;;8;75;xx;xx;115;35;-1,189584067;;;;;;
77;S2;31/03/2021;19,00;17,0;5,8;12/03/2021;2;6,34;T2.2;77_T2.2;5,8;;8;75;xx;xx;115;7,26332427;-2,762094516;210;10;186;266;;
86;S4;01/04/2021;19,00;17,0;16,7;13/03/2021;2;17,75;BM;86_BM;16,7;;8;75;75;8;105;105;0;;;;;;
86;S4;01/04/2021;19,00;17,0;14,9;13/03/2021;2;15,97;T1;86_T1;14,9;;8;75;75;-5;105;100;-0,048790164;;;;;;
86;S4;01/04/2021;19,00;17,0;14,1;13/03/2021;2;15,15;T2;86_T2;14,1;;8;75;38;-40;105;75;-0,336472237;;;;;;
86;S4;01/04/2021;19,00;17,0;10,8;13/03/2021;2;11,83;T3;86_T3;10,8;;8;75;xx;-75;105;30;-1,252762968;;;;;;
86;S4;01/04/2021;19,00;17,0;11,1;13/03/2021;2;12,13;T0;86_T0;11,1;;8;75;xx;-65;105;44;-0,869770716;;;;;;
86;S4;01/04/2021;19,00;17,0;9,7;13/03/2021;2;10,70;T1.1;86_T1.1;9,7;;8;75;xx;-55;105;35;-1,098612289;;;;;;
86;S4;01/04/2021;19,00;17,0;6,7;13/03/2021;2;7,79;T1.2;86_T1.2;6,7;;8;75;xx;xx;105;9;-2,456735773;;;;;;
85;S2;01/04/2021;20,00;18,0;17,7;12/03/2021;2;18,29;BM;85_BM;17,7;;8;80;80;0;115;115;0;;;;;;
85;S2;01/04/2021;20,00;18,0;15,9;12/03/2021;2;16,50;T1;85_T1;15,9;;8;80;30;-60;115;70;-0,496436886;;;;;;
85;S2;01/04/2021;20,00;18,0;15,1;12/03/2021;2;15,69;T2;85_T2;15,1;;8;80;30;-65;115;65;-0,570544858;;;;;;
85;S2;01/04/2021;20,00;18,0;11,8;12/03/2021;2;12,36;T3;85_T3;11,8;;8;80;xx;-85;115;40;-1,056052674;;;;;;
85;S2;01/04/2021;20,00;18,0;8,3;12/03/2021;2;8,86;T4;85_T4;8,3;;8;80;xx;xx;115;18;-1,85456037;;;;;;
85;S2;01/04/2021;20,00;18,0;10,7;12/03/2021;2;11,24;T1.1;85_T1.1;10,7;;8;80;xx;-100;115;35;-1,189584067;;;;;;
85;S2;01/04/2021;20,00;18,0;10,4;12/03/2021;2;11,00;T2.1;85_T2.1;10,4;;8;80;xx;xx;115;22;-1,653889675;;;;;;
85;S2;01/04/2021;20,00;18,0;12,1;12/03/2021;2;12,67;T0;85_T0;12,1;;8;80;xx;xx;115;28;-1,412727618;;;;;;
3rouge;S0a;12/03/2021;8,00;8,0;7,7;04/03/2021;0;7,70;BM;3rouge_BM;7,7;7,5;;;;;16,69393078;16,69393078;0;;8;342;266;;
3rouge;S0a;12/03/2021;8,00;8,0;5,9;04/03/2021;0;5,92;T1;3rouge_T1;5,9;5;;;;;16,69393078;9,030342674;-0,614454912;;8;185;266;;
3rouge;S0a;12/03/2021;8,00;8,0;0,7;04/03/2021;0;0,65;T1.1;3rouge_T1.1;0,7;3,2;;;;;16,69393078;2,811609395;-1,781288169;;25;180;266;stade TS;
3rouge;S0a;12/03/2021;8,00;8,0;2,1;04/03/2021;0;2,08;T0;3rouge_T0;2,1;3,8;;;;;16,69393078;3,553561874;-1,547094782;;20;182;266;;
3rouge;S0a;12/03/2021;8,00;8,0;5,1;04/03/2021;0;5,10;T2;3rouge_T2;5,1;5,8;;;;;16,69393078;7,185224009;-0,843018531;;12,5;230;266;;
3rouge;S0a;12/03/2021;8,00;8,0;0,4;04/03/2021;0;0,41;T2.1;3rouge_T2.1;0,4;3,2;;;;;16,69393078;2,795989343;-1,786859214;;25;179;266;stade TS;
3rouge;S0a;12/03/2021;8,00;8,0;1,8;04/03/2021;0;1,78;T3;3rouge_T3;1,8;3,5;;;;;16,69393078;4,588390332;-1,291515955;;16;188;266;;
5rouge;S0a;12/03/2021;8,00;8,0;7,7;04/03/2021;0;7,70;BM;5rouge_BM;7,7;7,8;;;;;9,840632882;9,840632882;0;;10;252;266;;
5rouge;S0a;12/03/2021;8,00;8,0;5,9;04/03/2021;0;5,92;T1;5rouge_T1;5,9;5,2;;;;;9,840632882;8,395778054;-0,158791059;;10;215;266;;
5rouge;S0a;12/03/2021;8,00;8,0;0,7;04/03/2021;0;0,65;T1.1;5rouge_T1.1;0,7;3,2;;;;;9,840632882;3,2021107;-1,12270984;;25;205;266;;
5rouge;S0a;12/03/2021;8,00;8,0;2,1;04/03/2021;0;2,08;T0;5rouge_T0;2,1;4,2;;;;;9,840632882;3,905013048;-0,924258902;;25;250;266;;
5rouge;S0a;12/03/2021;8,00;8,0;5,1;04/03/2021;0;5,10;T2;5rouge_T2;5,1;4,8;;;;;9,840632882;6,872822965;-0,358945092;;12,5;220;266;;
5rouge;S0a;12/03/2021;8,00;8,0;0,4;04/03/2021;0;0,41;T2.1;5rouge_T2.1;0,4;3,2;;;;;9,840632882;2,277924278;-1,463255402;;30;175;266;stade TS;
5rouge;S0a;12/03/2021;8,00;8,0;1,8;04/03/2021;0;1,78;T3;5rouge_T3;1,8;3,5;;;;;9,840632882;2,863676235;-1,23441383;;30;220;266;stade TS;
5rouge;S0a;12/03/2021;8,00;8,0;1,8;04/03/2021;0;1,78;T3;5rouge_T3;1,8;3,5;;;;;9,840632882;3,045910178;-1,172720261;;25;195;266;;
5rouge;S0a;12/03/2021;8,00;8,0;-3,2;04/03/2021;0;-3,24;T2.2;5rouge_T2.2;-3,2;2,2;;;;;9,840632882;1,62708877;-1,799727639;;30;125;266;avant TS;
5rouge;S0a;12/03/2021;8,00;8,0;-1,7;04/03/2021;0;-1,73;T4;5rouge_T4;-1,7;2,2;;;;;9,840632882;1,416961878;-1,93800497;;35;127;266;avant TS;
7bleu;S0a;12/03/2021;8,00;8,0;7,7;04/03/2021;0;7,70;BM;7bleu_BM;7,7;7,5;;;;;14,39973562;14,39973562;0;;8;295;266;;
7bleu;S0a;12/03/2021;8,00;8,0;5,9;04/03/2021;0;5,92;T1;7bleu_T1;5,9;5;;;;;14,39973562;8,278627662;-0,553532633;;12,5;265;266;;
7bleu;S0a;12/03/2021;8,00;8,0;0,7;04/03/2021;0;0,65;T1.1;7bleu_T1.1;0,7;3,2;;;;;14,39973562;2,999050021;-1,568914268;;25;192;266;stade TS;
7bleu;S0a;12/03/2021;8,00;8,0;2,1;04/03/2021;0;2,08;T0;7bleu_T0;2,1;4;;;;;14,39973562;4,002638374;-1,280256109;;20;205;266;;
7bleu;S0a;12/03/2021;8,00;8,0;1,8;04/03/2021;0;1,78;T3;7bleu_T3;1,8;3,8;;;;;14,39973562;3,831794054;-1,323876732;;16;157;266;;
7bleu;S0a;12/03/2021;8,00;8,0;0,4;04/03/2021;0;0,41;T2.1;7bleu_T2.1;0,4;3,2;;;;;14,39973562;2,264907568;-1,849675897;;25;145;266;stade TS;
4bleu;S0b;12/03/2021;6,00;6,0;5,7;06/03/2021;4;7,40;BM;4bleu_BM;5,7;7;;;;;8,981530011;8,981530011;0;;10;230;266;;
4bleu;S0b;12/03/2021;6,00;6,0;3,9;06/03/2021;4;5,62;T1;4bleu_T1;3,9;4,5;;;;;8,981530011;7,185224009;-0,223143551;;12,5;230;266;;
4bleu;S0b;12/03/2021;6,00;6,0;-1,3;06/03/2021;4;0,35;T1.1;4bleu_T1.1;-1,3;3,5;;;;;8,981530011;2,061846889;-1,471568118;;25;132;266;stade TS;
4bleu;S0b;12/03/2021;6,00;6,0;-1,3;06/03/2021;4;0,35;T1.1;4bleu_T1.1;-1,3;3,5;;;;;8,981530011;2,147757177;-1,430746124;;30;165;266;stade TS;
4bleu;S0b;12/03/2021;6,00;6,0;3,1;06/03/2021;4;4,80;T2;4bleu_T2;3,1;4,2;;;;;8,981530011;4,515171337;-0,687727113;;16;185;266;;
4bleu;S0b;12/03/2021;6,00;6,0;-0,2;06/03/2021;4;1,48;T3;4bleu_T3;-0,2;3,2;;;;;8,981530011;2,142178586;-1,433346905;;35;192;266;stade TS;
4bleu;S0b;12/03/2021;6,00;6,0;-4,3;06/03/2021;4;-2,56;T1.2;4bleu_T1.2;-4,3;3,5;;;;;8,981530011;1,896720623;-1,55504384;;35;170;266;avant TS;
2bleu;S0b;12/03/2021;8,00;8,0;7,7;04/03/2021;4;9,40;BM;2bleu_BM;7,7;7,2;;;;;9,762532621;9,762532621;0;;10;250;266;;
2bleu;S0b;12/03/2021;8,00;8,0;5,9;04/03/2021;4;7,62;T1;2bleu_T1;5,9;4,8;;;;;9,762532621;5,857519572;-0,510825624;;16;240;266;;
2bleu;S0b;12/03/2021;8,00;8,0;0,7;04/03/2021;4;2,35;T1.1;2bleu_T1.1;0,7;2,8;;;;;9,762532621;1,562005219;-1,832581464;;35;140;266;stade double ridge;
2bleu;S0b;12/03/2021;8,00;8,0;2,1;04/03/2021;4;3,78;T0;2bleu_T0;2,1;3,5;;;;;9,762532621;2,473174931;-1,373049134;;30;190;266;stade TS;
